Date, Close , Open , High , Low , Adj Close , Volume , 3-Day Average , Next Day's Close ,Prediction
31/12/2014,46.06,46.57,46.7,46.01,37.23,1711600,46.06,45.72,
2/1/2015,45.72,45.73,45.91,45.41,36.95,1573200,45.89,44.43,
5/1/2015,44.43,44.26,44.51,43.84,35.91,3017700,45.4,44.96,
6/1/2015,44.96,44.61,45.3,44.34,36.34,4357200,45.04,45.38,
7/1/2015,45.38,44.77,45.66,44.7,36.68,2919200,44.92,45.69,
8/1/2015,45.69,45.5,46.08,45.38,36.93,2797100,45.34,45.53,
9/1/2015,45.53,45.33,45.62,45.05,36.8,1919900,45.53,44.57,
12/1/2015,44.57,44.33,44.72,43.9,36.02,2781700,45.26,43.88,
13/01/2015,43.88,44.38,44.57,43.6,35.46,2684400,44.66,42.95,
14/01/2015,42.95,42.33,43.01,42.07,34.71,5529200,43.8,43.1,
15/01/2015,43.1,43.24,43.44,42.97,34.83,2895700,43.31,44.2,
16/01/2015,44.2,43.68,44.2,43.59,35.72,2623200,43.42,43.97,
20/01/2015,43.97,43.86,44.09,43.59,35.54,2007500,43.76,44.56,
21/01/2015,44.56,43.7,44.61,43.62,36.01,1833900,44.24,44.9,
22/01/2015,44.9,45.09,45.25,44.49,36.29,2776100,44.48,43.08,
23/01/2015,43.08,43.52,43.67,43.02,34.82,2708100,44.18,43.67,
26/01/2015,43.67,43.03,43.9,42.83,35.29,2466200,43.88,43.76,
27/01/2015,43.76,43.5,43.89,43.23,35.37,1322300,43.5,43.27,
28/01/2015,43.27,44.08,44.08,43.22,34.97,1748300,43.57,44.29,
29/01/2015,44.29,43.97,44.36,43.35,35.8,4091500,43.77,44.13,
30/01/2015,44.13,43.72,44.7,43.53,35.67,2459800,43.9,45.18,
2/2/2015,45.18,44.35,45.24,44.26,36.51,2683800,44.53,47.33,
3/2/2015,47.33,45.93,47.42,45.67,38.25,7895200,45.55,46.27,
4/2/2015,46.27,46.38,46.65,46.06,37.4,2698200,46.26,47.44,
5/2/2015,47.44,46.96,47.57,46.74,38.34,4201500,47.01,46.24,
6/2/2015,46.24,46.28,46.6,46.09,37.37,2390000,46.65,47,
9/2/2015,47,46.64,47.38,46.63,37.99,1965800,46.89,45.79,
10/2/2015,45.79,46.06,46.12,45.44,37.01,2738600,46.34,45.8,
11/2/2015,45.8,45.53,45.97,44.85,37.02,3110200,46.2,47.15,
12/2/2015,47.15,47.31,47.38,46.74,38.11,5140400,46.25,49.37,
13/02/2015,49.37,48.15,49.41,48.15,39.9,4302900,47.44,49.37,
17/02/2015,49.37,49.13,49.52,48.85,39.9,2844400,48.63,49.35,
18/02/2015,49.35,48.79,49.83,48.73,39.89,3354200,49.36,49.61,
19/02/2015,49.61,49.64,50.03,49.21,40.1,2903100,49.44,49.94,
20/02/2015,49.94,49.68,50.07,49.59,40.36,1993600,49.63,48.57,
23/02/2015,48.57,49,49.11,48.4,39.25,3227200,49.37,49.42,
24/02/2015,49.42,49.11,49.72,48.93,39.94,1996400,49.31,49.17,
25/02/2015,49.17,49.27,49.46,48.95,39.74,1597800,49.05,49.3,
26/02/2015,49.3,49.38,49.51,49,39.84,1577900,49.3,49.33,
27/02/2015,49.33,49.17,49.67,49.13,39.87,3348900,49.27,48.47,
2/3/2015,48.47,48.66,48.84,48.19,39.17,2501300,49.03,48.25,
3/3/2015,48.25,48.27,48.6,48.09,39,2532300,48.68,46.12,
4/3/2015,46.12,46.09,46.27,45.68,38.19,2667200,47.61,45.47,
5/3/2015,45.47,45.72,45.8,45.36,37.65,4409000,46.61,44.23,
6/3/2015,44.23,44.24,44.55,43.94,36.63,3675200,45.27,44.12,
